Id	Name	CodeSage	Siren	RCSCity	AddressId	SocialCapital	AgencyId	RepresentingCivilityId	RepresentingName	RepresentingRole	Tag	IsDeleted	CreatedBy	CreatedDate	UpdatedBy	UpdatedDate
62	SCI VENELLES MICHELON	MAR006	883226763	Marseille D 883 226 763	2922	1600	21	NULL	NULL	NULL		false	connectedUser	2023-08-29 07:55:33.7883731		2023-08-31 11:52:12.4239321
63	SCI PEYPIN PUITS ARMAND	MAR009	878192459	Marseille D 878 192 459	2923	1600	21	NULL	NULL	NULL		false	connectedUser	2023-08-29 07:57:11.8918507		2023-08-31 11:50:52.2099496
64	SCI MARSEILLE WILLIAM BOOTH	PR015	848701058	Nanterre D 848 701 058	2924	1600	21	NULL	NULL	NULL		false	connectedUser	2023-08-29 08:00:03.6195677		2023-08-31 11:53:41.5580130
65	SCI LA VALETTE DU VAR STE CECILE	PR016	844289843	Nanterre D 844 289 843	2925	1600	21	NULL	NULL	NULL		false	connectedUser	2023-08-29 08:01:36.0169231		2023-08-31 11:54:57.1180270
66	SAS LES MARTELIERES	PR017	834228033	Toulon B 834 228 033	2926	5000	21	NULL	NULL	NULL		false	connectedUser	2023-08-29 08:03:27.0426632		2023-08-31 11:56:02.3056490
67	SCI LYON JABOULAY	RA049	832508113	Lyon D 832 508 113	2927	1600	21	NULL	NULL	NULL		false	connectedUser	2023-08-29 08:05:40.3926724		NULL
68	SCI MEYZIEU ROUTE D'AZIEU	RA055	840132856	Lyon D 840 132 856	2928	1600	21	NULL	NULL	NULL		false	connectedUser	2023-08-29 08:07:01.1993134		NULL
69	SCI MEYZIEU ROUTE D'AZIEU	RA055	840132856	Lyon D 840 132 856	2929	1600	21	NULL	NULL	NULL		false	connectedUser	2023-08-29 08:09:51.6736241		2023-08-31 12:02:46.9488381
70	SCI SATHONAY CAMP PASTEUR	RA060	850688888	Lyon D 850 688 888	2930	1600	21	NULL	NULL	NULL		false	connectedUser	2023-08-29 08:11:09.3341404		NULL
71	SCI SOUCIEU LA FLETTE	RA061	881166482	Lyon D 881 166 482	2931	1600	21	NULL	NULL	NULL		false	connectedUser	2023-08-29 08:12:18.2495499		2023-08-31 12:08:35.7104000
72	SCI CHASSIEU REPUBLIQUE	RA063	881250187	Lyon D 881 250 187	2932	1600	21	NULL	NULL	NULL		false	connectedUser	2023-08-29 08:13:22.3126706		2023-08-31 12:09:51.6172185
73	SAS VENISSIEUX LYVET	RA064	881249411	Lyon B 881 249 411	2933	2000	21	NULL	NULL	NULL		false	connectedUser	2023-08-29 08:14:37.4991545		NULL
74	SCI STE FOY LES LYON MONTRAY	RA057	881248231	Lyon D 881 248 231	7215	1600	21	NULL	NULL	NULL		false	connectedUser	2023-08-31 12:05:12.8185049		2023-08-31 12:05:29.2853926
75	SDAC	SDAC	888776960	Nanterre B 888 776 960	7217	3800	21	NULL	NULL	NULL		false	connectedUser	2023-08-31 12:18:59.7399777		2023-08-31 12:19:18.5356092
1074	SCI CANNES LA BOCCA VELODROME	PR030	888846094	Nice D 888 846 094	8763	1600	21	NULL	NULL	NULL		false	connectedUser	2023-11-17 13:06:09.9514927		2023-11-20 16:37:02.4505868
1075	SCI PEGOMAS CAMBOUNE	PR035	899570980	Nice D 899 570 980	8764	1600	21	NULL	NULL	NULL		false	connectedUser	2023-11-17 13:09:42.5693727		2023-11-20 16:44:08.0854907
1076	SCI VAULX EN VELIN DUCLOS	CH012	905155610	LYON	8935	1600	21	1	SPIRIT IMMOBILER	GERANT		false	connectedUser	2023-11-24 10:44:21.8902290		2023-11-24 10:48:05.6991699
1077	SCI VENELLES VERDON	MAR014	900232679	MARSEILLE	10507	1600	21	1	SPIRIT PROVENCE	GERANT		false	connectedUser	2023-12-12 09:54:37.9046491		2023-12-12 09:56:11.0791122
2080	SCI IE064-FLINS	IE064	899789648	Nanterre	12890	1600	20	NULL	SPIRIT ENTREPRISES	Gérant	REPRISE	false	SEED	2024-02-21 00:00:00.000	KROU2803	NULL
2081	SCI IE065 ST LEONARD	IE065	899829071	Nanterre	12890	1600	20	NULL	SPIRIT ENTREPRISES	Gérant	REPRISE	false	SEED	2024-02-21 00:00:00.000	KROU2803	NULL
2082	SCI IE070 LE HAVRE	IE070	902892223	Nanterre	12890	1600	20	NULL	SPIRIT ENTREPRISES	Gérant	REPRISE	false	SEED	2024-02-21 00:00:00.000	KROU2803	NULL
2083	SCI IE067 GELLAINVILLE	IE067	912910528	Nanterre	12890	1600	20	NULL	SPIRIT ENTREPRISES	Gérant	REPRISE	false	SEED	2024-02-21 00:00:00.000	KROU2803	NULL
2084	SCI IE068 TOURCOING	IE068	914796313	Nanterre	12890	1600	20	NULL	SPIRIT ENTREPRISES	Gérant	REPRISE	false	SEED	2024-02-21 00:00:00.000	KROU2803	NULL
2085	SCI IE074 WATTRELOS	IE074	913635694	Nanterre	12890	1600	20	NULL	SPIRIT ENTREPRISES	Gérant	REPRISE	false	SEED	2024-02-21 00:00:00.000	KROU2803	NULL
2086	SCI BAILLY ROMAINVILLIERS DOPPLER 3	IE043	839398641	Nanterre	12890	1600	20	NULL	SPIRIT ENTREPRISES	Gérant	REPRISE	false	SEED	2024-02-21 00:00:00.000	KROU2803	NULL
2087	SCI MOISSY CRAMAYEL 1 ECOPOLE	IE039	839367620	Nanterre	12890	1600	20	NULL	SPIRIT ENTREPRISES	Gérant	REPRISE	false	SEED	2024-02-21 00:00:00.000	KROU2803	NULL
2088	SCI IE052 SERRIS	IE052	879039501	Nanterre	12890	1600	20	NULL	SPIRIT ENTREPRISES	Gérant	REPRISE	false	SEED	2024-02-21 00:00:00.000	KROU2803	NULL
2089	SCI IE056 BUCHELAY	IE056	889963526	Nanterre	12890	1600	20	NULL	SPIRIT ENTREPRISES	Gérant	REPRISE	false	SEED	2024-02-21 00:00:00.000	KROU2803	NULL
2090	SCI CHANTELOUP LES VIGNES 1 CETTONS	IE041	839448867	Nanterre	12890	1600	20	NULL	SPIRIT ENTREPRISES	Gérant	REPRISE	false	SEED	2024-02-21 00:00:00.000	KROU2803	NULL
2091	SCI IE072 PLAISIR	IE072	911060804	Nanterre	12890	1600	20	NULL	SPIRIT ENTREPRISES	Gérant	REPRISE	false	SEED	2024-02-21 00:00:00.000	KROU2803	NULL
2092	SCI IE058 BONDOUFLE	IE058	888616075	Nanterre	12890	1600	20	NULL	SPIRIT ENTREPRISES	Gérant	REPRISE	false	SEED	2024-02-21 00:00:00.000	KROU2803	NULL
2093	SCI IE057 MONTGERON	IE057	902893916	Nanterre	12890	1600	20	NULL	SPIRIT ENTREPRISES	Gérant	REPRISE	false	SEED	2024-02-21 00:00:00.000	KROU2803	NULL
2094	SCI ST PIERRE DU PERRAY ACCESSION	IE022	824082168	Nanterre	12890	1600	20	NULL	SPIRIT ENTREPRISES	Gérant	REPRISE	false	SEED	2024-02-21 00:00:00.000	KROU2803	NULL
2095	GENNEVILLIERS LOUVRESSES	INV040	877978445	Nanterre	12890	1600	20	NULL	SPIRIT ENTREPRISES	Gérant	REPRISE	false	SEED	2024-02-21 00:00:00.000	KROU2803	NULL
2096	SCI IE059 STAINS	IE059	894530732	Nanterre	12890	1600	20	NULL	SPIRIT ENTREPRISES	Gérant	REPRISE	false	SEED	2024-02-21 00:00:00.000	KROU2803	NULL
2097	SCI IE073 STAINS	IE073	908270770	Nanterre	12890	1600	20	NULL	SPIRIT ENTREPRISES	Gérant	REPRISE	false	SEED	2024-02-21 00:00:00.000	KROU2803	NULL
2098	SCI Tremblay Activités CEM	IE032	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	REPRISE	false	SEED	2024-02-21 00:00:00.000	SEED	NULL
2099	Tremblay Activités 2 Campus	INV037	842438194	Nanterre	12890	1600	20	NULL	SPIRIT ENTREPRISES	Gérant	REPRISE	false	SEED	2024-02-21 00:00:00.000	KROU2803	NULL
2100	SCI IE062 TREMBLAY	IE062	842438194	Nanterre	12890	1600	20	NULL	SPIRIT ENTREPRISES	Gérant	REPRISE	false	SEED	2024-02-21 00:00:00.000	KROU2803	NULL
2101	SCI FREPILLON 2 MORENO	IE038	833574825	Nanterre	12890	1600	20	NULL	SPIRIT ENTREPRISES	Gérant	REPRISE	false	SEED	2024-02-21 00:00:00.000	KROU2803	NULL
2102	SCI IE077 Louvres	IE077	909130171	Nanterre	12890	1600	20	NULL	SPIRIT ENTREPRISES	Gérant	REPRISE	false	SEED	2024-02-21 00:00:00.000	KROU2803	NULL
2103	SCI IE081 MARINES	IE081	913856837	Nanterre	12890	1600	20	NULL	SPIRIT ENTREPRISES	Gérant	REPRISE	false	SEED	2024-02-21 00:00:00.000	KROU2803	NULL
2104	SCI IE060 MONTMAGNY	IE060	894350578	Nanterre	12890	1600	20	NULL	SPIRIT ENTREPRISES	Gérant	REPRISE	false	SEED	2024-02-21 00:00:00.000	KROU2803	NULL
2105	SCI IE069 Rousset	IE069	909341695	Nanterre	12890	1600	20	NULL	SPIRIT ENTREPRISES	Gérant	REPRISE	false	SEED	2024-02-21 00:00:00.000	KROU2803	NULL
2106	SCI IE061 VENELLES	IE061	899311831	Nanterre	12890	1600	20	NULL	SPIRIT ENTREPRISES	Gérant	REPRISE	false	SEED	2024-02-21 00:00:00.000	KROU2803	NULL
2107	SCI IE048 CHASSIEU	IE048	852073568	Nanterre	12890	1600	20	NULL	SPIRIT ENTREPRISES	Gérant	REPRISE	false	SEED	2024-02-21 00:00:00.000	KROU2803	NULL
2113	SCI IE086 CARQUEFOU	IE086	950925156	Nanterre	12890	1600	20	NULL	SPIRIT ENTREPRISES	Gérant		false	KROU	2024-02-22 21:14:28.7066667		NULL
2114	SCCV GENEVILLIERS LOUVRESSES	IE054	878456383	Nanterre	12890	1600	20	NULL	SPIRIT ENTREPRISES	Gérant		false	KROU	2024-02-22 21:14:28.7066667		NULL
2115	SCI IE074 WATTRELOS		NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	REPRISE	false	SEED	2024-02-23 00:00:00.000	SEED	NULL
2116	SNC TOULON LES ROUTES	PR001	539397653	Nanterre	14692	1600	21	NULL				false	KROU1	2024-03-01 16:33:51.1733333		NULL
2117	SCI SAINT-AYGULF BERLIOZ	PR005	808008528	Nanterre	14693	1600	21	NULL				false	KROU1	2024-03-01 16:33:51.1800000		NULL
2118	SCI NICE BAREL	PR007	829388552	Nanterre	14694	1600	21	NULL				false	KROUNICE	2024-03-01 16:33:51.1800000		NULL
2119	SCI LA CIOTAT ROUMAGOUA	PR008	822291266	Nanterre	14695	1600	21	NULL				false	KROUNICE	2024-03-01 16:33:51.1800000		NULL
2120	SCI LA CIOTAT 2 ROUMAGOUA	PR013	840432926	Nanterre	14696	1600	21	NULL				false	KROUNICE	2024-03-01 16:33:51.1800000		NULL
2121	SCI LE CANNET ST CHARLES	PR018	878044254	Nice	14698	1600	21	NULL				false	KROUNICE	2024-03-01 16:33:51.1800000		NULL
2122	SCI NICE LANTERNE	PR019	878100692	Nice	14699	1600	21	NULL				false	KROUNICE	2024-03-01 16:33:51.1800000		NULL
2123	SCI CAGNES ESPARTES	PR021	841960925	Nanterre	14697	1600	21	NULL				false	KROUNICE	2024-03-01 16:33:51.1800000		NULL
2124	SCI CHATEAUNEUF VILLEVIEILLE TOUR	PR023	878098219	Nice	14700	1600	21	NULL				false	KROUNICE	2024-03-01 16:33:51.1800000		NULL
